country,description,designation,points,price,province,region_1,region_2,taster_name,title,variety,winery,freq,c_freq,red,rose,white,sparkling,flavor_categories_taste_notes
Italy,"There's a unique note here of mature fruit, chopped basil or peppermint with a hint of spice or chopped white peppercorn. The bubbling seems less frothy and the wine has a flat, big feel in the mouth. Grapes were farmed organically and the wine is from the 2007 vintage, which may explain its distinctive style.",Arió Extra Dry,86,15.0,Veneto,Prosecco di Conegliano,,,L'Antica Quercia 2007 Arió Extra Dry  (Prosecco di Conegliano),Prosecco,L'Antica Quercia,236.0,16121.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Spain,"Red in color, with berry and apple aromas, this is sweet, with a heavy body and light effervescence.",1887 Rosado,82,13.0,Catalonia,Cava,,Michael Schachner,Cavas Hill NV 1887 Rosado Sparkling (Cava),Sparkling Blend,Cavas Hill,2153.0,5014.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Spain,"Funky, yeasty aromas of cinnamon, spent lees and bread yeast dominate the nose. This feels foamy, with lightly vegetal flavors of apple that finish briny.",,82,11.0,Catalonia,Cava,,Michael Schachner,Bellisco NV Sparkling (Cava),Sparkling Blend,Bellisco,2153.0,5014.0,0.0,0.0,0.0,1.0,"dry, crisp, briny, acidic"
Italy,"The wine starts off slowly due to a note of almond nut or cardboard that masks the natural fruit. Once it gets started, however, this luminous sparkling Prosecco offers cheerful notes of stone fruit and pear.",Extra Dry,85,24.0,Veneto,Prosecco di Valdobbiadene,,,Astoria 2008 Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Astoria,236.0,16121.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Italy,"Tonic and lean with a nearly transparent color and lively perlage, this non-DOC Prosecco offers candy-like aromas of butterscotch and lemon soda. There's an interesting touch of crushed white peppercorn in there as well and this well-priced wine would make a perfect match to appetizers and finger foods.",Brut,85,13.0,Italy Other,Italy,,,Cantine Maschio NV Brut Prosecco (Italy),Prosecco,Cantine Maschio,236.0,16121.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Italy,"This Extra Dry (slightly sweet) vintage Prosecco delivers a lean, slightly watery style and piquant bubbles that recall lemon soda. The wine is firm and steely in the mouth with tonic bubbling and layers of fresh fruit on the close.",Millesimato Extra Dry,85,19.0,Veneto,Prosecco di Valdobbiadene,,,Val d'Oca 2008 Millesimato Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Val d'Oca,236.0,16121.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Italy,"Citrus tones, peach, white flower and mineral notes come forward thanks to the wine's bright personality and zesty effervescence. There are soft notes of crushed pepper and loads of sweet stone fruit flavors to enjoy as well.",Extra Dry,85,19.0,Veneto,Prosecco del Veneto,,,Viticoltori Ponte NV Extra Dry  (Prosecco del Veneto),Prosecco,Viticoltori Ponte,236.0,16121.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
France,"A creamy, caramel- and pear-flavored wine, keeping freshness but enriched with an almond and custard tart finish.",Brut Mosaïque,85,30.0,Champagne,Champagne,,Roger Voss,Jacquart NV Brut Mosaïque  (Champagne),Champagne Blend,Jacquart,1396.0,21002.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Italy,"This Prosecco delivers medium intensity and a compact, slightly watery mouthfeel followed by lime, kiwi, white flower, honey and chopped basil. The cheerful sparkler ends with creamy consistency thanks to the foamy quality of its effervescence.",Millesimato Extra Dry,85,15.0,Veneto,Prosecco di Conegliano e Valdobbiadene,,,Le Vigne di Alice 2008 Millesimato Extra Dry  (Prosecco di Conegliano e Valdobbiadene),Prosecco,Le Vigne di Alice,236.0,16121.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Italy,"Canah Brut Prosecco exhibits a slightly more saturated golden color and intense notes of mature peach, dried apricot with delicate mineral tones in the background. This rich sparkler is fatter and denser than most Proseccos and boasts an attractively low price tag.",Canah Brut,85,20.0,Veneto,Prosecco di Valdobbiadene,,,Perlage 2008 Canah Brut  (Prosecco di Valdobbiadene),Prosecco,Perlage,236.0,16121.0,0.0,0.0,0.0,1.0,"dry, crisp, briny, acidic"
Italy,"Here's an organically grown Prosecco with citrusy notes of lime and grapefruit backed by white mineral and orange blossom. The wine is firm and slightly sweet on the finish and offers an easy, no-fuss experience overall.",,85,13.0,Veneto,Prosecco del Veneto,,,Pizzolato 2007  Prosecco del Veneto,Prosecco,Pizzolato,236.0,16121.0,0.0,0.0,0.0,1.0,"dry, crisp, briny, acidic"
Italy,"Here's a Prosecco with a broad and far-reaching aspect to its aromatic profile that recalls roasted almonds, mature peach and yellow rose. There's a pungent note in there as well of ash or talc powder and the sparkler ends with a playful blast of piquant spice.",Stefany Extra Dry,85,16.0,Veneto,Prosecco del Veneto,,,Pizzolato NV Stefany Extra Dry  (Prosecco del Veneto),Prosecco,Pizzolato,236.0,16121.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Italy,This is an easy-going Prosecco with lively tones of stone fruit and citrus. The wine is informal and tonic which makes it perfect as an appetizer wine or with friends on a lazy summer afternoon.,Extra Dry,85,14.0,Veneto,Prosecco del Veneto,,,Ca'Tullio NV Extra Dry  (Prosecco del Veneto),Prosecco,Ca'Tullio,236.0,16121.0,0.0,0.0,0.0,1.0,"dry, crisp, briny, acidic"
US,"A touch blossomy against a core of ripe raspberry and cherry perfume, the nose on this traditional-method Pinot Noir sparkler is particularly alluring. The palate is elegant and fresh, marked by fine, mouthfilling mousse and delicate raspberry-candy finish.",Cuvée Gabriella Brut Rosé,89,35.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,Macari 2010 Cuvée Gabriella Brut Rosé Sparkling (North Fork of Long Island),Sparkling Blend,Macari,2153.0,52329.0,0.0,0.0,0.0,1.0,other sparkling
France,"This is a rich, bottle-aged wine is bright with lemon and green-apple fruitiness, but it's starting to develop secondary flavors—notes of toast, almonds and cookies—as well. It's at just the right stage of development and ready to drink now.",Brut Prestige,92,69.0,Champagne,Champagne,,Roger Voss,Philippe Fontaine NV Brut Prestige  (Champagne),Champagne Blend,Philippe Fontaine,1396.0,21002.0,0.0,0.0,0.0,1.0,other sparkling
US,"Thickly moussed, Roederer's Brut, 60% Chardonnay blended with 40% Pinot Noir, aged two years on yeast is affordable and luxurious. A gorgeous, very dry sparkling wine with aromatics of honey, raisin, apple and pear, it is rich and soft and offers both depth and length. It's an ideal marriage of bright acidity and ripe fruit character.",Brut,92,23.0,California,Anderson Valley,,Virginie Boone,Roederer Estate NV Brut Sparkling (Anderson Valley),Sparkling Blend,Roederer Estate,2153.0,52329.0,0.0,0.0,0.0,1.0,"dry, crisp, briny, acidic"
Italy,"From one of Franciacorta's leading producers, Gran Cuvée Pas Operé offers an enticing fragrance of acacia flower, white flowers and beeswax. The creamy palate delivers apple, nut, spice, thyme and sage along with fine, persistent effervescence.",Gran Cuvée Pas Operé,92,50.0,Lombardy,Franciacorta,,Kerin O’Keefe,Bellavista 2006 Gran Cuvée Pas Operé Sparkling (Franciacorta),Sparkling Blend,Bellavista,2153.0,16121.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
France,"A rich, bottled-aged wine, full of toast as well as apple and crisp grapefruit flavors, this has great balance and elegance. It's full of fruit, but structured and seamlessly integrated. It's ready to drink now, but will also improve with age. Drink until 2020.",Tzarina No 1 Brut,92,100.0,Champagne,Champagne,,Roger Voss,Chanoine NV Tzarina No 1 Brut  (Champagne),Champagne Blend,Chanoine,1396.0,21002.0,0.0,0.0,0.0,1.0,other sparkling
France,"This is a beautiful wine showing remarkable richness and maturity. Hints of toast and bright fruits combine seamlessly to yield a full, ripe wine marked with with intense acidity. With concentration from old vines showing strongly, it's a wine that's ready to drink now.",Cuvée Marguerite Brut,92,60.0,Champagne,Champagne,,Roger Voss,Vollereaux 2007 Cuvée Marguerite Brut  (Champagne),Champagne Blend,Vollereaux,1396.0,21002.0,0.0,0.0,0.0,1.0,"sweet, modest, fruity"
France,"Very dry in style, this is a beautifully crisp, tight and taut Champagne. It has citrus and green apple flavors, and is steely in character while also fruity. It could do well with some more bottle age.",Édition Limitée Extra Brut,92,70.0,Champagne,Champagne,,Roger Voss,H. Blin 2003 Édition Limitée Extra Brut  (Champagne),Champagne Blend,H. Blin,1396.0,21002.0,0.0,0.0,0.0,1.0,"dry, crisp, briny, acidic"
Spain,"Lime, apple and mineral aromas come with a note of eggy yeast. The mouthfeel is regular and a touch foamy, with semisweet flavors of kiwi, apple and gooseberry. Mild and feeling good on the finish, it's basic but well worth a go.",Reserva Brut,87,19.0,Catalonia,Cava,,Michael Schachner,V&N; Cellars NV Reserva Brut Sparkling (Cava),Sparkling Blend,V&N; Cellars,2153.0,5014.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
France,"This potentially rich Champagne is still young. The Chardonnay and Pinot Noir that dominate the blend show tight acidity, minerality and a tangy, orange-like edge. Give it time to mature, and it will be splendid.",Cuvée St Clément,91,70.0,Champagne,Champagne,,Roger Voss,Boude Baudin 2010 Cuvée St Clément  (Champagne),Champagne Blend,Boude Baudin,1396.0,21002.0,0.0,0.0,0.0,1.0,other sparkling
France,"Aged for an extra two years to soften its tense acidity, this Champagne is defiantly bone-dry yet not searing. Its ripe and rich fruitiness cushions the crisp acidity and taut, nervy citrus character. Drink now.",B. Zéro Brut Dosage,91,59.0,Champagne,Champagne,,Roger Voss,Boude Baudin NV B. Zéro Brut Dosage  (Champagne),Champagne Blend,Boude Baudin,1396.0,21002.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
France,"This producer shows its preference for dry Champagnes with this bone-dry, oak-fermented bottling. With its bottle age and the softening effect of wood, it's generous and gently textured, leaving plenty of room for its bright fruit and balanced acidity to show. Drink from 2018.",Brut Zéro Sélection,91,42.0,Champagne,Champagne,,Roger Voss,Jeaunaux-Robin NV Brut Zéro Sélection  (Champagne),Champagne Blend,Jeaunaux-Robin,1396.0,21002.0,0.0,0.0,0.0,1.0,"dry, crisp, briny, acidic"
US,"One of a crop of new Oregon sparklers, this was barrel fermented with native yeast and aged for 56 months prior to disgorging. Fine tiny bubbles and a fresh, yeasty aroma introduce the wine, which has excellent concentration. Green apple and green banana, a touch of cucumber and a nice toasty frame all combine gracefully. The odds are that this will continue to improve in bottle for another five years at least.",Blanc de Noir,91,50.0,Oregon,Oregon,Oregon Other,Paul Gregutt,Le Cadeau 2011 Blanc de Noir Sparkling (Oregon),Sparkling Blend,Le Cadeau,2153.0,52329.0,0.0,0.0,0.0,1.0,"dry, crisp, briny, acidic"
US,"A beautiful sparkling wine that shows the Iron Horse signature of balanced elegance. The lime, raspberry, vanilla and brioche flavors are rich and intricate, but particularly lovely is the texture, which is soft and silky.",Ocean Reserve,92,40.0,California,Green Valley,Sonoma,,Iron Horse 2007 Ocean Reserve Sparkling (Green Valley),Sparkling Blend,Iron Horse,2153.0,52329.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
France,"This is a powerful, almost concentrated, very dry selection. Its richness comes from the weight of its fruit flavors and the tight tang of its intense acidity. From a fine vintage, it could still age for several more years. Disgorged July 2011.",Assemblage Brut,92,101.0,Champagne,Champagne,,Roger Voss,Bruno Paillard 2002 Assemblage Brut  (Champagne),Champagne Blend,Bruno Paillard,1396.0,21002.0,0.0,0.0,0.0,1.0,"dry, crisp, briny, acidic"
US,"There's a honeyed accent to this sparkler, with tangerine, lime, buttered toast and yeasty flavors that are savory and complex. The mouthfeel is wonderfully soft and creamy. A great success for Laetitia, at a good price.",Cuvée M,92,35.0,California,Arroyo Grande Valley,Central Coast,,Laetitia 2008 Cuvée M Sparkling (Arroyo Grande Valley),Sparkling Blend,Laetitia,2153.0,52329.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Spain,"Bready aromas feature melon as the main fruit scent. This is chunky in feel, with moderate acidity and cut. Apple, melon and green-herb flavors finish with hints of toast, yeast and generic sweetness.",Brut,86,15.0,Catalonia,Cava,,Michael Schachner,Pata Negra NV Brut Sparkling (Cava),Sparkling Blend,Pata Negra,2153.0,5014.0,0.0,0.0,0.0,1.0,other sparkling
Spain,"Apple and melon aromas are standard and light. A juicy, citrusy feeling palate delivers stone-fruit flavors of peach and nectarine. A mild finish is fresh in flavor and feel.",Cinta Púrpura Brut Reserva,86,13.0,Catalonia,Cava,,Michael Schachner,Juvé y Camps NV Cinta Púrpura Brut Reserva Sparkling (Cava),Sparkling Blend,Juvé y Camps,2153.0,5014.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Spain,"Generic white-fruit and matchstick aromas are quiet in nature. This is creamy and not assaulting or sugary on the palate. Mango, melon, lychee and citrus flavors finish with lime notes.",Sweet Reserva,86,15.0,Catalonia,Cava,,Michael Schachner,Juvé y Camps NV Sweet Reserva Sparkling (Cava),Sparkling Blend,Juvé y Camps,2153.0,5014.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
US,"Pretty dark in color and full bodied for a sparkling wine, even one that's majority Pinot Noir. But it's delicious and dry, which surely are prime requisites for any bubbly. Shows ripe, flashy raspberry, strawberry, orange, vanilla, honey, yeast and toast flavors, and the mouthfeel is silky and refined.",Brut Rose,90,28.0,California,Russian River Valley,Sonoma,,J Vineyards & Winery NV Brut Rose Sparkling (Russian River Valley),Sparkling Blend,J Vineyards & Winery,2153.0,52329.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
France,"Neatly divided between the three major grapes of Champagne, this full, ripe wine is packed with rich apple and pear fruits. It is crisp while showing a high dosage giving a softer, smoother aftertaste. Drink this bottling now.",Grande Réserve Premier Cru Brut,87,38.0,Champagne,Champagne,,Roger Voss,Duménil NV Grande Réserve Premier Cru Brut  (Champagne),Champagne Blend,Duménil,1396.0,21002.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
France,"Partially from Grand Cru vineyards in the Montagne de Reims and the Côte des Blancs, this wine is soft, ripe and balanced, with a ripe dosage that contrasts with citrus acidity. It has a fine, cool texture.",Brut Mosaïque,87,40.0,Champagne,Champagne,,Roger Voss,Jacquart NV Brut Mosaïque  (Champagne),Champagne Blend,Jacquart,1396.0,21002.0,0.0,0.0,0.0,1.0,other sparkling
France,"A balanced wine, with softness that indicates a relatively high dosage. There is no complexity, but the wine is light, creamy, flavored with green plums and kiwi, just edged with bitterness.",Demoiselle Tête de Cuvée Brut,85,40.0,Champagne,Champagne,,Roger Voss,Vranken NV Demoiselle Tête de Cuvée Brut  (Champagne),Champagne Blend,Vranken,1396.0,21002.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
France,"Although it is labeled “Extra Dry” (that is sweeter than Brut), this lively Champagne in its festive little pink bottle is very fresh, with delicious acidity. It finishes lightly, easily.",Pop Rosé Extra Dry,85,15.0,Champagne,Champagne,,Roger Voss,Pommery NV Pop Rosé Extra Dry  (Champagne),Champagne Blend,Pommery,1396.0,21002.0,0.0,0.0,0.0,1.0,"dry, crisp, briny, acidic"
Spain,"The nose falls somewhere between smoky and gritty, while dusty white-fruit scents prop things up. Peachy acidity and citric tang let you know this is a “nature” Cava, while nectarine, rhubarb and green-herb flavors finish razor crisp and dry.",Reserva Brut Nature,90,25.0,Catalonia,Cava,,Michael Schachner,Castellroig 2010 Reserva Brut Nature Sparkling (Cava),Sparkling Blend,Castellroig,2153.0,5014.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
France,"Chardonay and Pinot Noir are both present in this apple and pear flavored wine. A lively mousse brings out the fruit and acidity, giving a tangy, bright wine that's ready to drink now.",Brut,90,24.0,France Other,Crémant de Jura,,Roger Voss,Domaine Rolet Père et Fils 2008 Brut Sparkling (Crémant de Jura),Sparkling Blend,Domaine Rolet Père et Fils,2153.0,21002.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Italy,"There's a distinctly mineral, almost ashen quality to this wine that recalls talcum powder and schoolroom chalkboard. The wine is linear and defined and has very pungent, almost sharp, effervescence with drying minerals on the close and will keep the palate polished and clean.",Desiderio Jeio Brut,86,17.0,Veneto,Prosecco del Veneto,,,Bisol NV Desiderio Jeio Brut  (Prosecco del Veneto),Prosecco,Bisol,236.0,16121.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Italy,"This Prosecco Extra Dry has a subtle, easy approach with measured fruit intensity but recognizable sweetness in the form of silky honey and melon. It offers a good measure of cleaning effervescence and chewy fruit to keep it going.",Extra Dry,86,15.0,Veneto,Prosecco di Conegliano,,,Carmina NV Extra Dry  (Prosecco di Conegliano),Prosecco,Carmina,236.0,16121.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Italy,"Delicate and sweet, this pretty Prosecco offers delicate floral notes and shadings of banana and exotic fruit. It is light and foamy in the mouth with full, soft texture and sensual sweetness on the close.",Cuvée Oro Dry,86,20.0,Veneto,Prosecco di Conegliano,,,Carpenè Malvolti NV Cuvée Oro Dry  (Prosecco di Conegliano),Prosecco,Carpenè Malvolti,236.0,16121.0,0.0,0.0,0.0,1.0,"sweet, modest, fruity"
Italy,"Simple peach aromas characterize this Prosecco Dry with a creamy, frothy cap, pretty bubbling and measured aromas of fruit salad and kiwi. The wine comes alive in the mouth thanks to its pretty mineral tones and generous fruity sweetness: Made from late-harvest Prosecco grapes.",Servo Suo Dry Vendemmia Tardiva,86,19.0,Veneto,Prosecco di Valdobbiadene,,,Col Saliz NV Servo Suo Dry Vendemmia Tardiva  (Prosecco di Valdobbiadene),Prosecco,Col Saliz,236.0,16121.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Italy,"Here is a very clean and pristine Prosecco Brut with measured but distinct notes of white peach, acacia flower and chopped kiwi. The wine tastes creamy and slightly sweet with chewy peach flavors. It makes a perfect aperitif wine.",Special Cuvée Brut,86,13.0,Veneto,Prosecco del Veneto,,,Zonin NV Special Cuvée Brut  (Prosecco del Veneto),Prosecco,Zonin,236.0,16121.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Italy,"Tonic and lean, this foamy sparkler delivers aromas of stone fruit, honey and yellow flower. It's a delicate, feminine wine with characteristic almond-like sourness on the close.",Millesimato Extra Brut,86,13.0,Veneto,Prosecco del Veneto,,,Toffoli 2007 Millesimato Extra Brut  (Prosecco del Veneto),Prosecco,Toffoli,236.0,16121.0,0.0,0.0,0.0,1.0,"dry, crisp, briny, acidic"
Italy,This is textbook Prosecco Extra Dry with sweet fragrances of stone fruit and white flower backed by mineral shadings and delicious honey. The wine is simple with lively acidity on the close.,Col del Sas Extra Dry,86,18.0,Veneto,Prosecco di Valdobbiadene,,,Spagnol NV Col del Sas Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Spagnol,236.0,16121.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
France,"Packed with red fruits and crisp acidity, this lively wine has a tight mousse, while the red-currant fruitiness adds intense acidity. The wine is bright and ready to drink.",La Burgondie Rosé Brut,88,10.0,Burgundy,Crémant de Bourgogne,,Roger Voss,Bailly-Lapierre NV La Burgondie Rosé Brut  (Crémant de Bourgogne),Sparkling Blend,Bailly-Lapierre,2153.0,21002.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
US,"This is an assertive, flavorful and robust wine, with a medium to full body, a mouthfilling texture and fine-beaded bubbles. A creamy viscosity and wonderful layers of butter, apple, vanilla and ginger make for a delicious palate.",Estate Bottled Brut,93,24.0,California,Anderson Valley,,Jim Gordon,Roederer Estate NV Estate Bottled Brut Sparkling (Anderson Valley),Sparkling Blend,Roederer Estate,2153.0,52329.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
US,"After three years en tirage, this well-evolved wine is heady and floral, made to highlight and celebrate diversity. Creamy and lush on the palate, it has a rounded richness of stone fruit. Made predominantly from Pinot Noir, it has an accentuated taste of strawberry shortcake.",Rainbow Cuvée,93,65.0,California,Green Valley,Sonoma,Virginie Boone,Iron Horse 2013 Rainbow Cuvée Sparkling (Green Valley),Sparkling Blend,Iron Horse,2153.0,52329.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Spain,"Focused crisp aromas of white fruits reflect a cool vintage. This is roughly one-quarter each Macabeo, Parellada, Xarello and Chardonnay, and it feels tight, fresh and focused. Dry stone-fruit flavors include a hint of lime, while this is clean on the finish.",Brut Natural Reserva,90,25.0,Catalonia,Penedès,,Michael Schachner,Albet I Noya 2013 Brut Natural Reserva Sparkling (Penedès),Sparkling Blend,Albet I Noya,2153.0,5014.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Spain,"Briny cidery aromas are fortunately not that loud or intense. This is wide and generous on the palate, with dry briny stone-fruit and apple flavors. A sense of dryness and pickle brine is amplified on a purposeful finish.",Privat Gran Reserva Brut Nature,90,36.0,Catalonia,Cava,,Michael Schachner,Alta Alella 2013 Privat Gran Reserva Brut Nature Sparkling (Cava),Sparkling Blend,Alta Alella,2153.0,5014.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Spain,"Briny lemon-lime aromas are simplistic. This blend of Moscatel and Merseguera is foamy, while good acidity keeps it on a level plane. Ripe, sweet flavors of lychee, honeydew and mango are pure Moscato, while acidity from the Mersequera helps this along.",Tarima,84,12.0,Levante,Alicante,,Michael Schachner,Volver 2014 Tarima Sparkling (Alicante),Sparkling Blend,Volver,2153.0,5014.0,0.0,0.0,0.0,1.0,"dry, crisp, briny, acidic"
Spain,"Aromas of rhubarb, herbs and strawberry mark the nose. This feels solid and mostly fresh, while flavors of pickled rhubarb and briny plum come with sugary sweetness in front of a salty finish.",Brut Rose,84,13.0,Catalonia,Cava,,Michael Schachner,Conde de Subirats NV Brut Rose Sparkling (Cava),Sparkling Blend,Conde de Subirats,2153.0,5014.0,0.0,0.0,0.0,1.0,"sweet, modest, fruity"
France,"Lanson suggests adding fruit to this wine or using it as the base for cocktails. It is off dry, ripe and fruity in itself. A touch of toast suggests this bottling is not young. The wine confuses between crisp acidity and a soft, neutral texture. It will probably be best when it is part of a mixed drink.",White Label Sec,85,50.0,Champagne,Champagne,,Roger Voss,Lanson NV White Label Sec  (Champagne),Champagne Blend,Lanson,1396.0,21002.0,0.0,0.0,0.0,1.0,"sweet, modest, fruity"
Spain,"Leesy vanilla aromas are scattershot and include bready notes of baked apple and pear. This feels round, plump and low on acidity. Flavors of grassy, green citrus and tropical fruits turn bitter before flattening out on a mild finish.",Brut,85,15.0,Catalonia,Cava,,Michael Schachner,Tarantas 2014 Brut Sparkling (Cava),Sparkling Blend,Tarantas,2153.0,5014.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
